Instance; Clique; Time (sec)
brock200_1.clq;20; 5.755
brock200_2.clq;12; 3.216
brock200_3.clq;15; 3.777
brock200_4.clq;17; 4.352
brock400_1.clq;23; 14.879
brock400_2.clq;23; 14.817
brock400_3.clq;23; 14.718
brock400_4.clq;22; 14.766
C125.9.clq;34; 5.859
gen200_p0.9_44.clq;40; 10.474
gen200_p0.9_55.clq;48; 10.307
hamming8-4.clq;16; 4.985
johnson16-2-4.clq;8; 2.795
johnson8-2-4.clq;4; 0.522
keller4.clq;11; 3.347
MANN_a27.clq;125; 182.538
MANN_a9.clq;16; 1.911
p_hat1000-1.clq;10; 14.303
p_hat1000-2.clq;40; 27.863
p_hat1500-1.clq;11; 22.512
p_hat300-3.clq;33; 9.528
p_hat500-3.clq;44; 23.139
san1000.clq;10; 30.268
sanr200_0.9.clq;38; 10.037
sanr400_0.7.clq;20; 12.636
