Instance; Clique; Time (sec)
brock200_1.clq; 21; 96.25
brock200_2.clq; 12; 1.472
brock200_3.clq; 15; 4.246
brock200_4.clq; 17; 9.297
C125.9.clq; 34; 29.311
gen200_p0.9_44.clq; 44; 129.085
gen200_p0.9_55.clq; 55; 5.834
hamming8-4.clq; 16; 5.705
johnson16-2-4.clq; 8; 18.287
johnson8-2-4.clq; 4; 0.051
keller4.clq; 11; 3.24
MANN_a27.clq; 126; 1187.94
MANN_a9.clq; 16; 0.594
p_hat1000-1.clq; 10; 42.558
p_hat1500-1.clq; 12; 326.872
p_hat300-3.clq; 36; 406.731
san1000.clq; 15; 243.833
sanr200_0.9.clq; 42; 7198.4
