Instance; Clique; Time (sec)
brock200_1.clq; 21; 2.116
brock200_2.clq; 12; 0.868
brock200_3.clq; 15; 1.054
brock200_4.clq; 17; 1.276
brock400_1.clq; 27; 3.645
brock400_2.clq; 25; 3.724
brock400_3.clq; 31; 4.011
brock400_4.clq; 33; 3.868
C125.9.clq; 34; 1.768
gen200_p0.9_44.clq; 44; 3.438
gen200_p0.9_55.clq; 55; 3.447
hamming8-4.clq; 16; 0.821
johnson16-2-4.clq; 8; 0.143
johnson8-2-4.clq; 4; 0.042
keller4.clq; 11; 1.162
MANN_a27.clq; 125; 3.283
MANN_a9.clq; 16; 0.432
p_hat1000-1.clq; 10; 7.846
p_hat1000-2.clq; 46; 60.502
p_hat1500-1.clq; 11; 14.625
p_hat300-3.clq; 36; 6.316
p_hat500-3.clq; 50; 21.95
san1000.clq; 10; 123.107
sanr200_0.9.clq; 42; 3.527
sanr400_0.7.clq; 21; 3.177
